Tanggal,Prov,Provinsi,Running Sum of divaksin2 (ribu),divaksin2 (ribu)
1/3/2021,Jawa Timur,Jawa Timur,0,0
1/7/2021,Jawa Timur,Jawa Timur,0,0
1/13/2021,Jawa Timur,Jawa Timur,0.001,0.001
1/14/2021,Jawa Timur,Jawa Timur,0.001,0
1/15/2021,Jawa Timur,Jawa Timur,0.001,0
1/16/2021,Jawa Timur,Jawa Timur,0.001,0
1/17/2021,Jawa Timur,Jawa Timur,0.001,0
1/18/2021,Jawa Timur,Jawa Timur,0.001,0
1/19/2021,Jawa Timur,Jawa Timur,0.002,0.001
1/20/2021,Jawa Timur,Jawa Timur,0.002,0
1/21/2021,Jawa Timur,Jawa Timur,0.003,0.001
1/22/2021,Jawa Timur,Jawa Timur,0.003,0
1/23/2021,Jawa Timur,Jawa Timur,0.008,0.005
1/24/2021,Jawa Timur,Jawa Timur,0.008,0
1/25/2021,Jawa Timur,Jawa Timur,0.032,0.024
1/26/2021,Jawa Timur,Jawa Timur,0.033,0.001
1/27/2021,Jawa Timur,Jawa Timur,0.036,0.003
1/28/2021,Jawa Timur,Jawa Timur,0.097,0.061
1/29/2021,Jawa Timur,Jawa Timur,1.081,0.984
1/30/2021,Jawa Timur,Jawa Timur,1.62,0.539
1/31/2021,Jawa Timur,Jawa Timur,1.629,0.009
2/1/2021,Jawa Timur,Jawa Timur,2.871,1.242
2/2/2021,Jawa Timur,Jawa Timur,4.277,1.406
2/3/2021,Jawa Timur,Jawa Timur,6.206,1.929
2/4/2021,Jawa Timur,Jawa Timur,8.112,1.906
2/5/2021,Jawa Timur,Jawa Timur,10.868,2.756
2/6/2021,Jawa Timur,Jawa Timur,13.444,2.576
2/7/2021,Jawa Timur,Jawa Timur,13.708,0.264
2/8/2021,Jawa Timur,Jawa Timur,17.826,4.118
2/9/2021,Jawa Timur,Jawa Timur,22.366,4.54
2/10/2021,Jawa Timur,Jawa Timur,29.875,7.509
2/11/2021,Jawa Timur,Jawa Timur,48.094,18.219
2/12/2021,Jawa Timur,Jawa Timur,52.353,4.259
2/13/2021,Jawa Timur,Jawa Timur,75.9,23.547
2/14/2021,Jawa Timur,Jawa Timur,81.221,5.321
2/15/2021,Jawa Timur,Jawa Timur,104.788,23.567
2/16/2021,Jawa Timur,Jawa Timur,122.734,17.946
2/17/2021,Jawa Timur,Jawa Timur,132.587,9.853
2/18/2021,Jawa Timur,Jawa Timur,139.113,6.526
2/19/2021,Jawa Timur,Jawa Timur,144.464,5.351
2/20/2021,Jawa Timur,Jawa Timur,148.953,4.489
2/21/2021,Jawa Timur,Jawa Timur,149.129,0.176
2/22/2021,Jawa Timur,Jawa Timur,153.391,4.262
2/23/2021,Jawa Timur,Jawa Timur,156.248,2.857
2/24/2021,Jawa Timur,Jawa Timur,160.009,3.761
2/25/2021,Jawa Timur,Jawa Timur,164.316,4.307
2/26/2021,Jawa Timur,Jawa Timur,165.422,1.106
2/27/2021,Jawa Timur,Jawa Timur,167.247,1.825
2/28/2021,Jawa Timur,Jawa Timur,167.485,0.238
3/1/2021,Jawa Timur,Jawa Timur,169.706,2.221
3/2/2021,Jawa Timur,Jawa Timur,171.31,1.604
3/3/2021,Jawa Timur,Jawa Timur,172.878,1.568
3/4/2021,Jawa Timur,Jawa Timur,173.97,1.092
3/5/2021,Jawa Timur,Jawa Timur,174.643,0.673
3/6/2021,Jawa Timur,Jawa Timur,175.206,0.563
3/7/2021,Jawa Timur,Jawa Timur,175.236,0.03
3/8/2021,Jawa Timur,Jawa Timur,176.172,0.936
3/9/2021,Jawa Timur,Jawa Timur,180.567,4.395
3/10/2021,Jawa Timur,Jawa Timur,196.867,16.3
3/11/2021,Jawa Timur,Jawa Timur,200.936,4.069
3/12/2021,Jawa Timur,Jawa Timur,237.799,36.863
3/13/2021,Jawa Timur,Jawa Timur,259.147,21.348
3/14/2021,Jawa Timur,Jawa Timur,259.32,0.173
3/15/2021,Jawa Timur,Jawa Timur,312.677,53.357
3/16/2021,Jawa Timur,Jawa Timur,366.656,53.979
3/17/2021,Jawa Timur,Jawa Timur,420.594,53.938
