Tanggal,Prov,Provinsi,Running Sum of divaksin3 (ribu),divaksin3 (ribu)
1/3/2021,Jawa Timur,Jawa Timur,0,0
1/7/2021,Jawa Timur,Jawa Timur,0,0
1/13/2021,Jawa Timur,Jawa Timur,0,0
1/14/2021,Jawa Timur,Jawa Timur,0,0
1/15/2021,Jawa Timur,Jawa Timur,0,0
1/16/2021,Jawa Timur,Jawa Timur,0,0
1/17/2021,Jawa Timur,Jawa Timur,0,0
1/18/2021,Jawa Timur,Jawa Timur,0,0
1/19/2021,Jawa Timur,Jawa Timur,0,0
1/20/2021,Jawa Timur,Jawa Timur,0,0
1/21/2021,Jawa Timur,Jawa Timur,0,0
1/22/2021,Jawa Timur,Jawa Timur,0,0
1/23/2021,Jawa Timur,Jawa Timur,0,0
1/24/2021,Jawa Timur,Jawa Timur,0,0
1/25/2021,Jawa Timur,Jawa Timur,0,0
1/26/2021,Jawa Timur,Jawa Timur,0.001,0.001
1/27/2021,Jawa Timur,Jawa Timur,0.001,0
1/28/2021,Jawa Timur,Jawa Timur,0.001,0
1/29/2021,Jawa Timur,Jawa Timur,0.001,0
1/30/2021,Jawa Timur,Jawa Timur,0.001,0
1/31/2021,Jawa Timur,Jawa Timur,0.001,0
2/1/2021,Jawa Timur,Jawa Timur,0.001,0
2/2/2021,Jawa Timur,Jawa Timur,0.002,0.001
2/3/2021,Jawa Timur,Jawa Timur,0.002,0
2/4/2021,Jawa Timur,Jawa Timur,0.002,0
2/5/2021,Jawa Timur,Jawa Timur,0.002,0
2/6/2021,Jawa Timur,Jawa Timur,0.002,0
2/7/2021,Jawa Timur,Jawa Timur,0.002,0
2/8/2021,Jawa Timur,Jawa Timur,0.002,0
2/9/2021,Jawa Timur,Jawa Timur,0.002,0
2/10/2021,Jawa Timur,Jawa Timur,0.003,0.001
2/11/2021,Jawa Timur,Jawa Timur,0.007,0.004
2/12/2021,Jawa Timur,Jawa Timur,0.01,0.003
2/13/2021,Jawa Timur,Jawa Timur,0.032,0.022
2/14/2021,Jawa Timur,Jawa Timur,0.033,0.001
2/15/2021,Jawa Timur,Jawa Timur,0.055,0.022
2/16/2021,Jawa Timur,Jawa Timur,0.065,0.01
2/17/2021,Jawa Timur,Jawa Timur,0.073,0.008
2/18/2021,Jawa Timur,Jawa Timur,0.075,0.002
2/19/2021,Jawa Timur,Jawa Timur,0.081,0.006
2/20/2021,Jawa Timur,Jawa Timur,0.086,0.005
2/21/2021,Jawa Timur,Jawa Timur,0.086,0
2/22/2021,Jawa Timur,Jawa Timur,0.088,0.002
2/23/2021,Jawa Timur,Jawa Timur,0.092,0.004
2/24/2021,Jawa Timur,Jawa Timur,0.096,0.004
2/25/2021,Jawa Timur,Jawa Timur,0.099,0.003
2/26/2021,Jawa Timur,Jawa Timur,0.1,0.001
2/27/2021,Jawa Timur,Jawa Timur,0.102,0.002
2/28/2021,Jawa Timur,Jawa Timur,0.102,0
3/1/2021,Jawa Timur,Jawa Timur,0.105,0.003
3/2/2021,Jawa Timur,Jawa Timur,0.106,0.001
3/3/2021,Jawa Timur,Jawa Timur,0.108,0.002
3/4/2021,Jawa Timur,Jawa Timur,0.108,0
3/5/2021,Jawa Timur,Jawa Timur,0.109,0.001
3/6/2021,Jawa Timur,Jawa Timur,0.109,0
3/7/2021,Jawa Timur,Jawa Timur,0.109,0
3/8/2021,Jawa Timur,Jawa Timur,0.109,0
3/9/2021,Jawa Timur,Jawa Timur,0.109,0
3/10/2021,Jawa Timur,Jawa Timur,0.115,0.006
3/11/2021,Jawa Timur,Jawa Timur,0.116,0.001
3/12/2021,Jawa Timur,Jawa Timur,0.127,0.011
3/13/2021,Jawa Timur,Jawa Timur,0.132,0.005
3/14/2021,Jawa Timur,Jawa Timur,0.132,0
3/15/2021,Jawa Timur,Jawa Timur,0.139,0.007
3/16/2021,Jawa Timur,Jawa Timur,0.14,0.001
3/17/2021,Jawa Timur,Jawa Timur,0.141,0.001
3/18/2021,Jawa Timur,Jawa Timur,0.143,0.002
3/19/2021,Jawa Timur,Jawa Timur,0.146,0.003
