Tanggal,Provinsi,Running Sum of divaksin1 (ribu),divaksin1 (ribu)
1/3/2021,Jawa Timur,0.001,0.001
1/7/2021,Jawa Timur,0.002,0.001
1/13/2021,Jawa Timur,0.025,0.023
1/14/2021,Jawa Timur,0.393,0.368
1/15/2021,Jawa Timur,1.233,0.84
1/16/2021,Jawa Timur,1.82,0.587
1/17/2021,Jawa Timur,1.827,0.007
1/18/2021,Jawa Timur,3.344,1.517
1/19/2021,Jawa Timur,4.883,1.539
1/20/2021,Jawa Timur,6.928,2.045
1/21/2021,Jawa Timur,9.026,2.098
1/22/2021,Jawa Timur,12.11,3.084
1/23/2021,Jawa Timur,15.239,3.129
1/24/2021,Jawa Timur,15.974,0.735
1/25/2021,Jawa Timur,20.171,4.197
1/26/2021,Jawa Timur,24.997,4.826
1/27/2021,Jawa Timur,33.67,8.673
1/28/2021,Jawa Timur,56.158,22.488
1/29/2021,Jawa Timur,82.088,25.93
1/30/2021,Jawa Timur,105.75,23.662
1/31/2021,Jawa Timur,113.944,8.194
2/1/2021,Jawa Timur,128.275,14.331
2/2/2021,Jawa Timur,140.214,11.939
2/3/2021,Jawa Timur,146.84,6.626
2/4/2021,Jawa Timur,152.732,5.892
2/5/2021,Jawa Timur,157.711,4.979
2/6/2021,Jawa Timur,163.114,5.403
2/7/2021,Jawa Timur,163.968,0.854
2/8/2021,Jawa Timur,167.061,3.093
2/9/2021,Jawa Timur,170.001,2.94
2/10/2021,Jawa Timur,173.103,3.102
2/11/2021,Jawa Timur,176.971,3.868
2/12/2021,Jawa Timur,177.218,0.247
2/13/2021,Jawa Timur,179.139,1.921
2/14/2021,Jawa Timur,179.381,0.242
2/15/2021,Jawa Timur,181.688,2.307
2/16/2021,Jawa Timur,183.387,1.699
2/17/2021,Jawa Timur,184.657,1.27
2/18/2021,Jawa Timur,185.578,0.921
2/19/2021,Jawa Timur,186.253,0.675
2/20/2021,Jawa Timur,186.919,0.666
2/21/2021,Jawa Timur,186.948,0.029
2/22/2021,Jawa Timur,187.632,0.684
2/23/2021,Jawa Timur,200.199,12.567
2/24/2021,Jawa Timur,233.668,33.469
2/25/2021,Jawa Timur,290.252,56.584
2/26/2021,Jawa Timur,338.86,48.608
2/27/2021,Jawa Timur,377.071,38.211
2/28/2021,Jawa Timur,383.707,6.636
3/1/2021,Jawa Timur,441.5,57.793
3/2/2021,Jawa Timur,504.971,63.471
3/3/2021,Jawa Timur,558.154,53.183
3/4/2021,Jawa Timur,608.511,50.357
3/5/2021,Jawa Timur,647.369,38.858
3/6/2021,Jawa Timur,677.148,29.779
3/7/2021,Jawa Timur,678.032,0.884
3/8/2021,Jawa Timur,722.972,44.94
3/9/2021,Jawa Timur,763.321,40.349
3/10/2021,Jawa Timur,797.822,34.501
3/11/2021,Jawa Timur,799.31,1.488
3/12/2021,Jawa Timur,817.165,17.855
3/13/2021,Jawa Timur,828.626,11.461
3/14/2021,Jawa Timur,829.408,0.782
3/15/2021,Jawa Timur,847.683,18.275
3/16/2021,Jawa Timur,866.188,18.505
3/17/2021,Jawa Timur,882.918,16.73
3/18/2021,Jawa Timur,898.298,15.38
3/19/2021,Jawa Timur,906.605,8.307
3/20/2021,Jawa Timur,913.215,6.61
3/21/2021,Jawa Timur,913.516,0.301
3/22/2021,Jawa Timur,934.017,20.501
3/23/2021,Jawa Timur,951.032,17.015
3/24/2021,Jawa Timur,969.897,18.865
3/25/2021,Jawa Timur,1005.269,35.372
3/26/2021,Jawa Timur,1039.115,33.846
3/27/2021,Jawa Timur,1074.929,35.814
3/28/2021,Jawa Timur,1079.554,4.625
3/29/2021,Jawa Timur,1147.703,68.149
3/30/2021,Jawa Timur,1210.845,63.142
3/31/2021,Jawa Timur,1270.321,59.476
4/1/2021,Jawa Timur,1324.494,54.173
4/2/2021,Jawa Timur,1333.572,9.078
4/3/2021,Jawa Timur,1369.557,35.985
4/4/2021,Jawa Timur,1381.144,11.587
4/5/2021,Jawa Timur,1428.05,46.906
4/6/2021,Jawa Timur,1472.934,44.884
4/7/2021,Jawa Timur,1523.615,50.681
4/8/2021,Jawa Timur,1574.154,50.539
4/9/2021,Jawa Timur,1614.07,39.916
4/10/2021,Jawa Timur,1656.873,42.803
4/11/2021,Jawa Timur,1665.969,9.096
4/12/2021,Jawa Timur,1712.561,46.592
4/13/2021,Jawa Timur,1733.411,20.85
4/14/2021,Jawa Timur,1755.63,22.219
4/15/2021,Jawa Timur,1782.236,26.606
4/16/2021,Jawa Timur,1805.709,23.473
4/17/2021,Jawa Timur,1821.847,16.138
4/18/2021,Jawa Timur,1827.449,5.602
4/19/2021,Jawa Timur,1852.497,25.048
4/20/2021,Jawa Timur,1877.559,25.062
4/21/2021,Jawa Timur,1899.21,21.651
4/22/2021,Jawa Timur,1924.326,25.116
4/23/2021,Jawa Timur,1943.492,19.166
4/24/2021,Jawa Timur,1962.585,19.093
4/25/2021,Jawa Timur,1963.845,1.26
4/26/2021,Jawa Timur,1974.653,10.808
4/27/2021,Jawa Timur,1985.682,11.029
4/28/2021,Jawa Timur,1997.154,11.472
4/29/2021,Jawa Timur,2011.672,14.518
4/30/2021,Jawa Timur,2019.991,8.319
5/1/2021,Jawa Timur,2021.281,1.29
5/2/2021,Jawa Timur,2022.062,0.781
5/3/2021,Jawa Timur,2029.865,7.803
5/4/2021,Jawa Timur,2039.706,9.841
5/5/2021,Jawa Timur,2056.933,17.227
5/6/2021,Jawa Timur,2077.777,20.844
5/7/2021,Jawa Timur,2100.268,22.491
5/8/2021,Jawa Timur,2123.614,23.346
5/9/2021,Jawa Timur,2124.956,1.342
5/10/2021,Jawa Timur,2152.755,27.799
5/11/2021,Jawa Timur,2172.849,20.094
5/12/2021,Jawa Timur,2173.99,1.141
5/13/2021,Jawa Timur,2174.143,0.153
5/14/2021,Jawa Timur,2174.179,0.036
5/15/2021,Jawa Timur,2174.495,0.316
5/16/2021,Jawa Timur,2174.637,0.142
5/17/2021,Jawa Timur,2189.016,14.379
5/18/2021,Jawa Timur,2223.272,34.256
5/19/2021,Jawa Timur,2270.931,47.659
5/20/2021,Jawa Timur,2334.268,63.337
5/21/2021,Jawa Timur,2375.428,41.16
5/22/2021,Jawa Timur,2419.311,43.883
5/23/2021,Jawa Timur,2421.224,1.913
5/24/2021,Jawa Timur,2497.05,75.826
5/25/2021,Jawa Timur,2586.864,89.814
5/26/2021,Jawa Timur,2591.157,4.293
5/27/2021,Jawa Timur,2682.42,91.263
5/28/2021,Jawa Timur,2739.843,57.423
5/29/2021,Jawa Timur,2803.583,63.74
5/30/2021,Jawa Timur,2806.278,2.695
5/31/2021,Jawa Timur,2883.522,77.244
6/1/2021,Jawa Timur,2887.486,3.964
6/2/2021,Jawa Timur,2966.407,78.921
6/3/2021,Jawa Timur,3047.638,81.231
6/4/2021,Jawa Timur,3098.066,50.428
6/5/2021,Jawa Timur,3156.467,58.401
6/6/2021,Jawa Timur,3164.491,8.024
6/7/2021,Jawa Timur,3249.812,85.321
6/8/2021,Jawa Timur,3343.375,93.563
6/9/2021,Jawa Timur,3445.059,101.684
6/10/2021,Jawa Timur,3563.126,118.067
6/11/2021,Jawa Timur,3626.449,63.323
6/12/2021,Jawa Timur,3695.232,68.783
6/13/2021,Jawa Timur,3700.031,4.799
6/14/2021,Jawa Timur,3800.081,100.05
6/15/2021,Jawa Timur,3901.892,101.811
6/16/2021,Jawa Timur,3999.327,97.435
6/17/2021,Jawa Timur,4086.426,87.099
6/18/2021,Jawa Timur,4130.77,44.344
6/19/2021,Jawa Timur,4174.651,43.881
6/20/2021,Jawa Timur,4180.57,5.919
6/21/2021,Jawa Timur,4245.475,64.905
6/22/2021,Jawa Timur,4320.614,75.139
6/23/2021,Jawa Timur,4407.908,87.294
6/24/2021,Jawa Timur,4505.117,97.209
6/25/2021,Jawa Timur,4565.295,60.178
6/26/2021,Jawa Timur,4742.277,176.982
6/27/2021,Jawa Timur,4754.852,12.575
6/28/2021,Jawa Timur,4835.605,80.753000000
6/29/2021,Jawa Timur,4944.776,109.171
6/30/2021,Jawa Timur,5076.144,131.368
7/1/2021,Jawa Timur,5208.801,132.657
7/2/2021,Jawa Timur,5295.804,87.003
7/3/2021,Jawa Timur,5386.951,91.147
7/4/2021,Jawa Timur,5401.072,14.121
7/5/2021,Jawa Timur,5530.431,129.359
7/6/2021,Jawa Timur,5688.321,157.89
7/7/2021,Jawa Timur,5857.602,169.281
7/8/2021,Jawa Timur,6034.367,176.765
7/9/2021,Jawa Timur,6169.365,134.998
7/10/2021,Jawa Timur,6354.993,185.628
7/11/2021,Jawa Timur,6372.151,17.158
7/12/2021,Jawa Timur,6480.879,108.728
7/13/2021,Jawa Timur,6587.218,106.339
7/14/2021,Jawa Timur,6675.995,88.777
7/15/2021,Jawa Timur,6795.509,119.514
7/16/2021,Jawa Timur,6882.917,87.408
7/17/2021,Jawa Timur,6989.244,106.327
7/18/2021,Jawa Timur,7024.538,35.294
7/19/2021,Jawa Timur,7106.608,82.07
7/20/2021,Jawa Timur,7116.698,10.09
7/21/2021,Jawa Timur,7201.57,84.872
7/22/2021,Jawa Timur,7306.273,104.703
7/23/2021,Jawa Timur,7372.491,66.218
7/24/2021,Jawa Timur,7430.535,58.044
7/25/2021,Jawa Timur,7456.125,25.59
7/26/2021,Jawa Timur,7503.918,47.793
7/27/2021,Jawa Timur,7559.328,55.41
7/28/2021,Jawa Timur,7603.772,44.444
7/29/2021,Jawa Timur,7662.112,58.34
7/30/2021,Jawa Timur,7707.189,45.077
7/31/2021,Jawa Timur,7747.209,40.02
8/1/2021,Jawa Timur,7762.737,15.528
8/2/2021,Jawa Timur,7798.901,36.164
8/3/2021,Jawa Timur,7838.976,40.075
8/4/2021,Jawa Timur,7891.588,52.612
8/5/2021,Jawa Timur,7936.395,44.807
8/6/2021,Jawa Timur,7969.559,33.164
8/7/2021,Jawa Timur,8036.315,66.756
8/8/2021,Jawa Timur,8062.82,26.505
8/9/2021,Jawa Timur,8109.169,46.349
8/10/2021,Jawa Timur,8153.269,44.1
8/11/2021,Jawa Timur,8166.395,13.126
8/12/2021,Jawa Timur,8239.1,72.705
8/13/2021,Jawa Timur,8292.709,53.609
8/14/2021,Jawa Timur,8362.141,69.432
8/15/2021,Jawa Timur,8392.554,30.413
8/16/2021,Jawa Timur,8477.469,84.915
8/17/2021,Jawa Timur,8501.775,24.306
8/18/2021,Jawa Timur,8590.584,88.809000000
8/19/2021,Jawa Timur,8686.78,96.196
8/20/2021,Jawa Timur,8749.257,62.477
8/21/2021,Jawa Timur,8854.068,104.811
8/22/2021,Jawa Timur,8909.185,55.117
8/23/2021,Jawa Timur,9007.356,98.171
8/24/2021,Jawa Timur,9133.542,126.186
8/25/2021,Jawa Timur,9267.449,133.907
8/26/2021,Jawa Timur,9398.73,131.281
8/27/2021,Jawa Timur,9470.81,72.08
8/28/2021,Jawa Timur,9596.247,125.437
8/29/2021,Jawa Timur,9627.116,30.869
8/30/2021,Jawa Timur,9802.13,175.014
8/31/2021,Jawa Timur,9973.151,171.021
9/1/2021,Jawa Timur,10120.341,147.19
9/2/2021,Jawa Timur,10307.181,186.84
9/3/2021,Jawa Timur,10427.844,120.663
9/4/2021,Jawa Timur,10587.441,159.597
9/5/2021,Jawa Timur,10621.575,34.134
9/6/2021,Jawa Timur,10793.836,172.261
9/7/2021,Jawa Timur,10988.556,194.72
9/8/2021,Jawa Timur,11179.89,191.334
9/9/2021,Jawa Timur,11404.436,224.546
9/10/2021,Jawa Timur,11547.428,142.992
9/11/2021,Jawa Timur,11784.061,236.633
9/12/2021,Jawa Timur,11826.036,41.975
9/13/2021,Jawa Timur,12023.056,197.02
9/14/2021,Jawa Timur,12226.802,203.746
9/15/2021,Jawa Timur,12428.967,202.165
9/16/2021,Jawa Timur,12665.347,236.38
9/17/2021,Jawa Timur,12812.488,147.141
9/18/2021,Jawa Timur,13021,208.512
9/19/2021,Jawa Timur,13047.403,26.403
9/20/2021,Jawa Timur,13236.7,189.297
9/21/2021,Jawa Timur,13455.663,218.963
9/22/2021,Jawa Timur,13716.884,261.221
9/23/2021,Jawa Timur,13974.469,257.585
9/24/2021,Jawa Timur,14146.027,171.558
9/25/2021,Jawa Timur,14381.156,235.129
9/26/2021,Jawa Timur,14425.488,44.332
9/27/2021,Jawa Timur,14664.518,239.03
9/28/2021,Jawa Timur,14913.108,248.59
9/29/2021,Jawa Timur,15208.157,295.049
9/30/2021,Jawa Timur,15486.943,278.786
10/1/2021,Jawa Timur,15673.528,186.585
10/2/2021,Jawa Timur,15874.954,201.426
10/3/2021,Jawa Timur,15935.291,60.337
10/4/2021,Jawa Timur,16119.313,184.022
10/5/2021,Jawa Timur,16322.405,203.092
10/6/2021,Jawa Timur,16514.954,192.549
10/7/2021,Jawa Timur,16748.968,234.014
10/8/2021,Jawa Timur,16902.95,153.982
10/9/2021,Jawa Timur,17051.702,148.752
10/10/2021,Jawa Timur,17083.677,31.975
10/11/2021,Jawa Timur,17270.692,187.015
10/12/2021,Jawa Timur,17466.428,195.736
10/13/2021,Jawa Timur,17671.994,205.566
10/14/2021,Jawa Timur,17905.76,233.766
10/15/2021,Jawa Timur,18049.486,143.726
10/16/2021,Jawa Timur,18216.145,166.659
10/17/2021,Jawa Timur,18241.004,24.859
10/18/2021,Jawa Timur,18408.245,167.241
10/19/2021,Jawa Timur,18555.364,147.119
10/20/2021,Jawa Timur,18594.797,39.433
10/21/2021,Jawa Timur,18797.655,202.858
10/22/2021,Jawa Timur,18929.609,131.954
10/23/2021,Jawa Timur,19087.608,157.999
10/24/2021,Jawa Timur,19105.613,18.005
10/25/2021,Jawa Timur,19277.751,172.138
10/26/2021,Jawa Timur,19458.955,181.204
10/27/2021,Jawa Timur,19616.837,157.882
10/28/2021,Jawa Timur,19779.376,162.539
10/29/2021,Jawa Timur,19904.938,125.562
10/30/2021,Jawa Timur,20026.168,121.23
10/31/2021,Jawa Timur,20043.407,17.239
11/1/2021,Jawa Timur,20191.423,148.016
11/2/2021,Jawa Timur,20321.852,130.429
11/3/2021,Jawa Timur,20457.939,136.087
11/4/2021,Jawa Timur,20593.324,135.385
11/5/2021,Jawa Timur,20678.028,84.704
11/6/2021,Jawa Timur,20770.013,91.985
11/7/2021,Jawa Timur,20783.704,13.691
11/8/2021,Jawa Timur,20885.107,101.403
11/9/2021,Jawa Timur,20991.815,106.708
11/10/2021,Jawa Timur,21098.585,106.77
11/11/2021,Jawa Timur,21199.562,100.977
11/12/2021,Jawa Timur,21262.446,62.884
11/13/2021,Jawa Timur,21329.656,67.21
11/14/2021,Jawa Timur,21340.114,10.458
11/15/2021,Jawa Timur,21416.555,76.441
11/16/2021,Jawa Timur,21513.95,97.395
11/17/2021,Jawa Timur,21610.519,96.569
11/18/2021,Jawa Timur,21719.399,108.88
11/19/2021,Jawa Timur,21814.332,94.933
11/20/2021,Jawa Timur,21920.661,106.329
11/21/2021,Jawa Timur,21955.945,35.284
11/22/2021,Jawa Timur,22077.511,121.566
11/23/2021,Jawa Timur,22219.784,142.273
11/24/2021,Jawa Timur,22352.288,132.504
11/25/2021,Jawa Timur,22473.219,120.931
11/26/2021,Jawa Timur,22555.938,82.719
11/27/2021,Jawa Timur,22653.156,97.218
11/28/2021,Jawa Timur,22668.616,15.46
11/29/2021,Jawa Timur,22756.744,88.128000000
11/30/2021,Jawa Timur,22840.432,83.688
12/1/2021,Jawa Timur,22924.161,83.729
12/2/2021,Jawa Timur,22997.74,73.579
12/3/2021,Jawa Timur,23047.114,49.374
12/4/2021,Jawa Timur,23110.622,63.508
12/5/2021,Jawa Timur,23118.515,7.893
12/6/2021,Jawa Timur,23181.573,63.058
12/7/2021,Jawa Timur,23249.965,68.392
12/8/2021,Jawa Timur,23322.412,72.447
12/9/2021,Jawa Timur,23408.23,85.818
12/10/2021,Jawa Timur,23463.7,55.47
12/11/2021,Jawa Timur,23507.761,44.061
12/12/2021,Jawa Timur,23515.337,7.576
12/13/2021,Jawa Timur,23568.302,52.965
12/14/2021,Jawa Timur,23623.634,55.332
12/15/2021,Jawa Timur,23700.846,77.212
12/16/2021,Jawa Timur,23794.183,93.337
12/17/2021,Jawa Timur,23865.819,71.636
12/18/2021,Jawa Timur,23943.867,78.048
12/19/2021,Jawa Timur,23961.656,17.789
12/20/2021,Jawa Timur,24085.955,124.299
12/21/2021,Jawa Timur,24230.78,144.825
12/22/2021,Jawa Timur,24391.547,160.767
12/23/2021,Jawa Timur,24573.372,181.825
12/24/2021,Jawa Timur,24689.714,116.342
12/25/2021,Jawa Timur,24710.385,20.671
12/26/2021,Jawa Timur,24725.241,14.856
12/27/2021,Jawa Timur,24862.584,137.343
12/28/2021,Jawa Timur,25015.123,152.539
12/29/2021,Jawa Timur,25151.776,136.653
12/30/2021,Jawa Timur,25290.266,138.49
12/31/2021,Jawa Timur,25387.513,97.247
1/1/2022,Jawa Timur,25419.776,32.263
1/2/2022,Jawa Timur,25441.764,21.988
1/3/2022,Jawa Timur,25540.153,98.389
1/4/2022,Jawa Timur,25663.608,123.455
1/5/2022,Jawa Timur,25806.584,142.976
1/6/2022,Jawa Timur,25971.032,164.448
1/7/2022,Jawa Timur,26085.015,113.983
1/8/2022,Jawa Timur,26191.098,106.083
1/9/2022,Jawa Timur,26206.713,15.615
1/10/2022,Jawa Timur,26356.283,149.57
1/11/2022,Jawa Timur,26513.085,156.802
1/12/2022,Jawa Timur,26666.251,153.166
