,Tanggal,Konfirmasi,Aktif,Sembuh,Meninggal,Case Recovery Rate,Case Fatality Rate,Bergejala,Tanpa Gejala,Perjalanan,Kontak,Tanpa Riwayat Perjalanan,Meninggal karena COVID-19,Meninggal karena penyakit lain (Positif COVID-19),RS Rujukan,RS Darurat,Karantina di Gedung,Karantina Mandiri,Suspek,Probabel,Diisolasi,Discarded,Meninggal,RS Rujukan,RS Darurat,Karantina di Gedung,Karantina Mandiri,Kontak Dilacak,Kontak Erat,Kontak Konfirmasi,Kontak Suspek,Kontak Discarded,Kontak Mangkir,Jumlah specimen/swab,Rapid,Reaktif,Reaktif periksa RT-PCR,Reaktif periksa RT-PCR(+)
0,01/10/2021,395555,1632,364495,29428,92.15,7.44,208132,187423,23474,95921,276160,25782,3646,737,29,29,205,10955,796,6285,111323,2357,771,0,0,230,373399,1665634,66721,10568,1429213,91,2497815,2186332,301799,216016,97363
1,02/10/2021,395684,1505,364739,29440,92.18,7.44,208195,187489,23476,97422,274786,25792,3648,741,28,28,204,10957,955,6278,111193,2357,763,7,0,229,367104,1669423,66727,10544,1432056,91,2548267,2074231,301415,216247,97378
2,03/10/2021,395799,1407,364942,29450,92.2,7.44,208259,187540,23480,95934,276385,25801,3649,668,18,18,210,10915,959,192995,104506,2196,765,0,0,239,373582,1670973,66729,10544,1434751,91,2554018,2087424,301425,219296,97392
3,04/10/2021,395861,1262,365141,29458,92.24,7.44,206061,189800,23482,95940,276439,25809,3649,598,26,26,184,10922,946,6240,104189,2360,750,0,0,210,373693,1676425,66732,10544,1439976,91,2560447,2225735,301851,216334,97409
4,05/10/2021,396001,1197,365340,29464,92.26,7.44,206140,189861,23486,95631,276884,25814,3650,597,9,9,174,10843,959,6167,104622,2364,750,0,0,232,373838,1671699,66743,10545,1441723,91,2569478,2271305,207875,216406,97422
5,06/10/2021,396159,1155,365532,29472,92.27,7.44,206214,189945,23491,93798,278870,25822,3650,568,15,15,162,10862,958,6192,104703,2365,636,0,1,271,374146,1675292,66753,10545,1443564,91,2579533,2399448,246643,258079,136048
6,07/10/2021,396281,1076,365719,29486,92.29,7.44,211249,185032,23497,100891,271893,25832,3654,546,8,8,139,10055,959,6181,104022,2365,634,0,1,264,374365,1679118,66762,10545,1445059,91,2546226,2365698,204409,215798,93732
7,08/10/2021,396400,1021,365886,29493,92.3,7.44,211305,185095,23507,100945,271948,25839,3654,504,6,6,135,10817,955,6149,104940,2363,615,0,2,248,374581,1683773,66775,10546,1447314,91,2656449,2413478,208148,219595,97475
8,09/10/2021,396518,973,366044,29501,92.31,7.44,211351,185167,23516,104167,268835,25845,3656,492,9,9,130,10793,953,6123,105021,2366,612,0,1,225,374848,1686889,66817,10548,1450165,91,2573425,2419236,208179,219674,97488
9,10/10/2021,396645,947,366194,29504,92.32,7.44,211394,185251,23524,104748,268373,25847,3657,471,8,8,113,10788,950,6119,105090,2364,607,0,0,226,375113,1690212,66821,10548,1452744,91,2670562,2423297,208185,219850,169092
10,11/10/2021,396695,866,366317,29512,92.34,7.44,211418,185277,23282,99065,274348,25854,3658,433,11,11,94,10765,955,6098,105142,2364,607,1,1,205,375329,1691434,66825,10548,1454922,91,2560550,2427286,208197,219880,97550
11,12/10/2021,396856,864,366471,29521,92.34,7.44,205537,191319,23532,104989,268335,25860,3661,409,5,5,105,10779,951,6108,104617,2368,623,1,1,221,375520,1693894,66835,10549,1456734,91,2548825,2422678,208359,219907,97574
12,13/10/2021,396980,838,366615,29527,92.35,7.44,210141,186839,23369,103241,270370,25865,3662,434,7,7,100,10787,893,6113,104693,2371,588,1,0,234,375646,1705513,69114,10549,1458658,91,2613609,2486604,208427,220094,97543
13,14/10/2021,397066,799,366737,29530,92.36,7.44,210174,186892,23550,105932,267584,25868,3662,383,7,7,103,10792,947,6123,105361,2372,590,1,5,238,375870,1707993,69119,10549,1442654,91,2651946,2895850,208430,220217,97716
14,15/10/2021,397153,752,366866,29535,92.37,7.44,210206,186947,23560,105947,267646,25871,3664,382,5,5,94,10762,945,6097,105462,2372,575,1,0,229,375970,2071427,69110,10549,1463161,91,2657743,2405990,208478,220351,97723
15,16/10/2021,397253,714,366993,29546,92.38,7.44,210245,187008,23563,105955,267735,25880,3666,372,5,5,91,10732,946,6067,105553,2372,576,1,0,200,376063,1710880,69115,10549,1464850,91,2572128,2410258,208224,220431,90535
