,Tanggal,Konfirmasi,Aktif,Sembuh,Meninggal,Case Recovery Rate,Case Fatality Rate,Bergejala,Tanpa Gejala,Perjalanan,Kontak,Tanpa Riwayat Perjalanan,Meninggal karena COVID-19,Meninggal karena penyakit lain (Positif COVID-19),RS Rujukan,RS Darurat,Karantina di Gedung,Karantina Mandiri,Suspek,Probabel,Diisolasi,Discarded,Meninggal,RS Rujukan,RS Darurat,Karantina di Gedung,Karantina Mandiri,Kontak Dilacak,Kontak Erat,Kontak Konfirmasi,Kontak Suspek,Kontak Discarded,Kontak Mangkir,Jumlah specimen/swab,Rapid,Reaktif,Reaktif periksa RT-PCR,Reaktif periksa RT-PCR(+)
0,01/01/2021,85039,6201,72938,5900,85.77,6.94,38472,46567,8810,24221,52008,5487,413,2438,122,122,2444,8771,878,5430,47018,1166,3285,76,61,988,90685,607590,19042,4532,436311,82,769166,1171041,109789,63631,25182
1,02/01/2021,85762,6066,73737,5959,85.98,6.95,38601,47161,8839,24419,52504,5539,420,2437,165,165,2281,8762,852,5258,46253,1168,3165,17,62,1146,91478,611931,19161,4569,436856,82,769054,1172413,110099,64148,23885
2,03/01/2021,86361,5997,74355,6009,86.1,6.96,38078,48283,8867,24559,52935,5581,428,2443,124,124,2330,8820,866,5268,47598,1164,3169,19,57,995,92155,615320,19267,4655,440242,82,779222,1174726,110373,64432,25509
3,04/01/2021,87070,6038,74967,6065,86.1,6.97,39011,48059,7962,22804,56304,5631,434,2440,129,129,2375,8990,810,5531,47056,1116,3275,20,48,1077,92817,614898,19389,4690,442999,82,780077,1181626,110664,64798,25615
4,05/01/2021,87797,6132,75546,6119,86.05,6.97,39432,48365,7984,22973,56840,5681,438,2485,118,118,2440,9078,819,5613,47923,1138,3378,20,50,1068,93658,625064,19492,4712,447205,97,794008,1185023,108721,65087,25028
5,06/01/2021,88642,6224,76245,6173,86.01,6.96,40923,47719,8947,25222,54473,5730,443,2572,119,119,2464,8267,822,5639,48086,1123,3305,19,65,1035,94511,629516,19619,4702,451285,97,803636,1185936,108848,65317,25136
6,07/01/2021,89590,6247,77102,6241,86.06,6.97,41472,48118,8987,25476,55127,5794,447,2652,131,131,2176,9068,835,5671,48473,1220,3289,19,65,1042,95388,634151,19910,4708,455915,97,810255,1187029,109115,65700,25329
7,08/01/2021,90615,6457,77844,6314,85.91,6.97,42077,48538,9023,25323,56269,5854,460,2593,129,129,2457,9078,910,5686,48693,1226,3268,19,65,1147,96171,636619,20032,4713,459676,97,818674,1186669,110353,66784,25603
8,09/01/2021,90615,6457,77844,6314,85.91,6.97,42077,48538,9023,25323,56269,5854,460,2593,129,129,2457,9078,910,5686,48693,1226,3268,19,65,1147,96171,636619,20032,4713,459676,97,818674,1186669,110353,66784,25603
9,10/01/2021,92613,6601,79571,6441,85.92,6.95,43205,49408,9079,26275,57259,5964,477,2557,118,118,2359,9080,756,5704,48107,1235,3257,25,53,1040,99054,643051,19227,4770,465161,82,832966,1195630,96048,67611,26070
10,11/01/2021,93405,6801,80093,6511,85.75,6.97,42637,50768,9076,26534,57795,6023,488,2572,182,182,2576,8921,755,5549,49075,1246,3122,26,56,1121,99533,645964,19416,4780,468804,82,836990,1206132,111264,67782,26135
11,12/01/2021,94249,6865,80808,6576,85.74,6.98,43022,51227,9103,26751,58395,6076,500,2629,124,124,2426,8950,755,5592,47137,1249,3162,28,51,978,100531,649635,19580,4837,474256,82,845099,1207853,111547,67731,26225
12,13/01/2021,95064,6864,81553,6647,85.79,6.99,43609,51455,9131,26963,58970,6135,512,2498,170,170,2402,9030,924,5625,49670,1256,2963,30,58,918,101203,655662,19723,4885,479011,82,853843,1214768,112593,68524,26353
13,14/01/2021,96045,6998,82331,6716,85.72,6.99,44209,51836,9169,27269,59607,6193,523,2546,105,105,2533,8821,928,5424,49853,1258,2850,33,59,1148,102118,660626,19912,4900,488019,82,857165,1210264,112662,67999,26496
14,15/01/2021,97243,7265,83199,6779,85.56,6.97,44474,52769,9299,27624,60320,6245,534,2578,150,150,2664,8748,916,5478,49985,1266,2960,29,62,1195,103285,663610,19829,5190,486034,82,954027,1170186,113113,68567,26645
15,16/01/2021,98403,7640,83930,6833,85.29,6.94,45299,53104,9418,27997,60988,6292,541,2606,158,158,2806,8728,754,5394,50429,1268,2902,24,50,981,104338,666272,20495,4956,498814,82,877103,1200191,115657,69100,27750
16,17/01/2021,99377,7572,84915,6890,85.45,6.93,45973,53404,9446,28433,61498,6334,556,2778,151,151,3006,8825,926,5400,50750,1274,2935,28,55,1078,105193,665899,20289,4950,502101,82,882920,1228036,116053,69377,27828
17,18/01/2021,100225,7520,85737,6968,85.54,6.95,46427,53798,9487,28512,62226,6397,571,2644,149,149,2871,8674,924,5270,51733,1271,2901,30,46,1038,100784,672986,20809,4983,507530,82,888238,1231585,116119,69595,27941
18,19/01/2021,101197,7589,86551,7057,85.53,6.97,46942,54255,9525,28923,62749,6471,586,2499,159,159,3206,8895,924,5484,51244,1274,2925,30,54,1128,105720,676781,21025,5009,513061,82,896435,1233543,116444,69935,28095
19,20/01/2021,102152,7636,87381,7135,85.54,6.98,47524,54628,9488,28565,64099,6538,597,2762,166,166,2770,8919,923,5532,51475,1270,2841,30,27,1109,106703,680652,21278,5042,518511,82,910220,1235638,116969,70225,28229
20,21/01/2021,103286,7742,88349,7195,85.54,6.97,48086,55200,9606,29582,64098,6591,604,3860,243,243,3052,8945,935,5546,51669,1278,2919,30,37,1108,107579,683547,21573,5054,524135,82,917897,1238475,117443,70567,28422
21,22/01/2021,104342,7933,89143,7266,85.43,6.96,48992,55350,9629,30025,64688,6652,614,2796,170,170,3184,8952,938,6082,51871,1280,2878,30,37,1120,108475,686794,21903,5076,529325,82,891698,1239775,117703,70938,28540
22,23/01/2021,105261,7942,89994,7325,85.5,6.96,49442,55819,9665,30228,65368,6700,625,2693,145,145,3237,8962,916,5556,52104,1277,2946,30,38,1093,108889,679976,20508,5101,534585,82,920701,1240590,117870,71202,28599
23,24/01/2021,106162,7839,90942,7381,85.66,6.95,49990,56172,9699,30489,65974,6741,640,2751,144,144,3163,8989,781,5581,52283,1285,2895,32,33,1080,109949,692851,22271,5091,539545,82,924417,1238734,118104,71431,28713
24,25/01/2021,107050,7826,91784,7440,85.74,6.95,50411,56639,9735,30831,66484,6508,932,2770,185,185,3166,9007,955,5599,51114,1286,2898,37,31,1076,110889,696074,22472,5126,543462,82,930483,1239597,118365,71713,28804
25,26/01/2021,108017,7886,92617,7514,85.74,6.96,50988,57029,9772,31129,67116,6567,947,2726,174,174,3198,8949,899,5544,49327,1286,2874,37,36,1509,111898,699281,22691,5131,546137,82,939228,1240778,104266,72124,28962
26,27/01/2021,109081,7953,93546,7582,85.76,6.95,51426,57655,9805,31449,67827,6627,955,2684,189,189,3366,9081,915,5677,51118,1238,2834,41,46,1128,112802,701399,22937,5158,554240,82,959203,1242538,119268,72394,29095
27,28/01/2021,110103,8067,94397,7639,85.74,6.94,51961,58142,9839,31574,68690,6674,965,2781,168,168,3440,9042,971,5624,53036,1240,2770,40,44,1102,113600,703308,22260,5171,558279,82,966576,1243443,119529,72777,29207
28,29/01/2021,111109,8008,95410,7691,85.87,6.92,52422,58687,9871,31673,69565,6716,975,2769,181,181,3532,9049,925,5641,53271,1236,2813,40,101,1104,114422,706296,22489,5215,563001,82,948316,1244338,119738,73146,29309
29,30/01/2021,111939,7844,96341,7754,86.07,6.93,52789,59150,9902,32360,69677,6763,991,2742,179,179,3445,9073,1046,5631,53598,1239,2865,40,44,1082,115050,709116,23652,5167,558096,82,978942,1245236,119956,73405,30409
30,31/01/2021,112795,7767,97223,7805,86.19,6.92,53226,59569,9918,32622,70255,6814,991,2715,195,195,3272,8875,927,5411,53933,1300,2638,19,45,1003,115810,713589,23890,5173,569783,82,983353,1246068,120111,73745,30483
31,01/02/2021,113488,7436,98188,7864,86.52,6.93,53571,59917,9960,32834,70694,6863,1001,2698,165,165,3037,8826,940,5381,54111,1309,2650,19,40,1042,116459,715063,24023,5190,572674,82,937153,1247236,120398,74078,30637
32,02/02/2021,114335,7340,99076,7919,86.65,6.93,54557,59778,9986,33163,71186,6909,1010,2585,138,138,3023,8823,947,5387,53967,1318,2528,24,40,1032,117301,716491,24273,5235,577248,82,994484,1252627,123866,74378,30760
33,03/02/2021,115071,7119,99975,7977,86.88,6.93,54933,60138,9742,33404,71925,6956,1021,2522,253,253,2944,8808,947,5372,54563,1315,2601,25,28,1016,118161,719548,24442,5252,583455,82,1003384,1255782,124768,74847,30956
34,04/02/2021,115750,6945,100789,8016,87.07,6.93,55267,60483,10032,33583,72135,6990,1026,2527,138,138,2783,8840,950,5401,54705,1323,3550,25,30,1016,118929,720886,24589,5281,586880,82,999091,1256573,124972,75188,31089
35,05/02/2021,116549,6823,101658,8068,87.22,6.92,55724,60825,10050,33820,72679,7035,1033,2510,112,112,2537,8820,937,5381,54944,1325,2627,26,29,985,117796,723139,24796,5301,593210,82,1017300,1257482,122857,75883,31430
36,06/02/2021,117294,6736,102444,8114,87.34,6.92,56128,61166,10070,32675,74549,7073,1041,2523,111,111,2660,8856,946,5400,55050,1328,2638,25,32,1006,120437,725488,24958,5344,598420,82,1012625,1258336,142277,75124,31567
